dog_weight,dog_type
69.9,dalmatian
86.4,dalmatian
32.1,beagle
50.5,pitbull
51.9,dalmatian
68.8,dalmatian
16.2,beagle
62,pitbull
52.3,pitbull
52.7,dalmatian
64.5,pitbull
55.6,pitbull
63.1,dalmatian
57.6,pitbull
25.2,beagle
66.3,dalmatian
84.9,pitbull
20.4,dalmatian
55.3,pitbull
17.1,beagle
17.5,beagle
40,pitbull
63.4,dalmatian
41.1,pitbull
18.9,beagle
67.7,pitbull
16.3,beagle
8.1,beagle
89.8,dalmatian
66.2,pitbull
59,pitbull
28.3,beagle
35.6,pitbull
30.9,pitbull
66.8,dalmatian
42.1,pitbull
57,pitbull
22.2,beagle
75.6,dalmatian
89.4,dalmatian
45,pitbull
86.7,dalmatian
12.1,beagle
74.4,dalmatian
35.8,dalmatian
60.7,pitbull
55.8,pitbull
0.5,beagle
16.4,beagle
52.9,pitbull
20.7,beagle
100,dalmatian
44.7,dalmatian
35.2,beagle
10.4,dalmatian
52.9,pitbull
86.8,dalmatian
66.2,pitbull
17.9,beagle
15.7,beagle
72.6,dalmatian
42.4,pitbull
59.5,dalmatian
74.2,pitbull
75.1,dalmatian
95.6,dalmatian
21.3,beagle
71.7,pitbull
5.9,beagle
64.9,dalmatian
23.5,beagle
24.7,beagle
76.5,pitbull
16.1,beagle
20.7,beagle
19.6,beagle
78.7,dalmatian
36.6,pitbull
38.3,dalmatian
52.5,dalmatian
20.9,beagle
78.2,dalmatian
67.1,dalmatian
53.9,dalmatian
66,pitbull
6,beagle
36.7,pitbull
63,dalmatian
72.7,pitbull
24.6,beagle
44.2,pitbull
41.2,pitbull
48.2,pitbull
64.9,pitbull
71.4,pitbull
49.6,pitbull
65.5,dalmatian
23.6,beagle
42.3,pitbull
25.1,beagle
15.7,beagle
48.5,pitbull
86,dalmatian
11.2,beagle
71.8,pitbull
24,beagle
50.6,pitbull
49.7,pitbull
47.7,pitbull
17.1,beagle
41.7,pitbull
50.5,pitbull
33.5,pitbull
28.3,beagle
32.6,pitbull
36.9,pitbull
83,dalmatian
83.4,dalmatian
62.2,pitbull
50.7,dalmatian
0.7,beagle
51.9,pitbull
72.7,dalmatian
40.1,pitbull
66.6,pitbull
16,beagle
63.9,pitbull
35.1,pitbull
58.7,dalmatian
62.8,pitbull
26.6,beagle
39.2,dalmatian
69,dalmatian
14.2,beagle
64.4,dalmatian
33.4,pitbull
82.2,dalmatian
51.6,pitbull
85.2,dalmatian
85.8,dalmatian
55.1,pitbull
75.2,dalmatian
37.8,pitbull
0.5,beagle
16.1,beagle
78.5,dalmatian
68.7,dalmatian
18.6,beagle
51,dalmatian
69.5,pitbull
18.6,beagle
25.8,beagle
55.8,pitbull
36.2,pitbull
16.5,beagle
16.9,beagle
74.4,pitbull
54.2,pitbull
36.1,beagle
59.4,dalmatian
46.7,pitbull
76.5,dalmatian
79.6,dalmatian
73.9,dalmatian
67.7,pitbull
23.7,beagle
60.9,dalmatian
45.8,pitbull
70.9,dalmatian
58.4,pitbull
85.5,dalmatian
60,dalmatian
47.7,pitbull
49.7,pitbull
42.4,pitbull
83.4,dalmatian
61.8,dalmatian
16.6,pitbull
95.9,dalmatian
75.9,dalmatian
44.9,pitbull
51.2,pitbull
30.6,dalmatian
49.1,pitbull
41.3,pitbull
46.3,pitbull
15.5,beagle
84.6,dalmatian
11.2,beagle
48.4,pitbull
45,pitbull
30.3,beagle
53.5,dalmatian
53.5,pitbull
50,pitbull
27.1,pitbull
65.6,dalmatian
14.9,beagle
15.9,beagle
32.1,beagle
82.2,dalmatian
63.5,dalmatian
52.3,pitbull
33.4,pitbull
37.6,pitbull
68.2,dalmatian
70,dalmatian
84.4,dalmatian
10.4,beagle
71.3,dalmatian
63,pitbull
74.8,dalmatian
55.2,pitbull
20.6,beagle
19.9,beagle
91.8,dalmatian
10.2,beagle
72.2,dalmatian
30,pitbull
30.4,beagle
49.4,pitbull
61.6,pitbull
57.2,pitbull
31.5,beagle
38.5,pitbull
85.3,dalmatian
25.2,beagle
21,beagle
75,dalmatian
54.4,pitbull
130.1,dalmatian
58,pitbull
44.3,pitbull
66,dalmatian
20.3,beagle
83.4,dalmatian
55.8,pitbull
54.8,pitbull
46.5,pitbull
9.1,beagle
44.4,pitbull
10.9,beagle
50.6,pitbull
8.2,beagle
37.9,dalmatian
35,pitbull
51.5,pitbull
16.2,beagle
23.2,beagle
77.2,dalmatian
53,pitbull
54.6,pitbull
40,pitbull
46,pitbull
36.8,pitbull
44.8,pitbull
19.8,beagle
70,dalmatian
11.4,beagle
44.6,pitbull
47.4,pitbull
39.6,pitbull
44.2,pitbull
56.9,pitbull
49.1,pitbull
117.5,dalmatian
19,beagle
37.6,pitbull
35.2,pitbull
50.6,pitbull
45.3,pitbull
40.1,dalmatian
53.3,pitbull
61.4,pitbull
14.7,beagle
43.7,pitbull
21.1,beagle
44,dalmatian
61.4,dalmatian
29,beagle
47.8,pitbull
23.7,beagle
61.2,pitbull
51.2,pitbull
72.4,dalmatian
39.8,pitbull
75.9,dalmatian
0.5,beagle
13.1,beagle
30.6,beagle
46.7,dalmatian
84.6,dalmatian
40.2,pitbull
49.9,pitbull
29.3,beagle
56.1,dalmatian
19.1,beagle
64.3,pitbull
23.7,pitbull
21.5,beagle
13.6,beagle
44.9,dalmatian
74.6,pitbull
40,pitbull
31.5,beagle
15.1,beagle
58.8,pitbull
45.4,pitbull
67.5,dalmatian
92.1,dalmatian
50.7,pitbull
79,dalmatian
40.3,pitbull
46.7,pitbull
65.7,pitbull
84,dalmatian
14.2,beagle
47.2,pitbull
41.1,dalmatian
35.3,dalmatian
20,beagle
43.1,pitbull
46.5,pitbull
49.9,pitbull
34.8,beagle
105.9,dalmatian
32.6,beagle
52,pitbull
49.5,pitbull
17.8,beagle
82,dalmatian
25.6,beagle
64.3,dalmatian
55.3,pitbull
53.3,pitbull
60.7,pitbull
60.6,dalmatian
12,beagle
92.3,dalmatian
55.7,dalmatian
76.3,dalmatian
95,dalmatian
45.6,dalmatian
41.6,pitbull
54.5,dalmatian
3.8,beagle
7.6,beagle
10.1,beagle
46.6,pitbull
64.7,dalmatian
70,dalmatian
24.9,beagle
34.3,pitbull
17.6,pitbull
55.4,pitbull
57.3,dalmatian
100.1,pitbull
51.8,pitbull
34.6,pitbull
34,pitbull
58.7,pitbull
65,pitbull
26.7,beagle
65.2,dalmatian
12,beagle
8.3,beagle
20.7,beagle
11.7,beagle
82,dalmatian
59.3,dalmatian
31.2,beagle
76.8,dalmatian
39.6,dalmatian
60.5,pitbull
66.9,dalmatian
59.8,pitbull
47,dalmatian
34.5,pitbull
69.4,dalmatian
59.4,dalmatian
87.8,dalmatian
37.2,pitbull
38.7,pitbull
68.2,pitbull
74.8,dalmatian
10,pitbull
45.1,dalmatian
58.8,dalmatian
33.5,beagle
51.1,pitbull
79.1,pitbull
71.4,dalmatian
53.8,pitbull
61.9,pitbull
29.7,beagle
79.5,pitbull
19.8,beagle
49,pitbull
22.7,beagle
41.7,pitbull
92,dalmatian
